task,directive,feedback_loop,learning,none,not_classified,task_iteration,validation
access computerized financial information to answer general questions as well as those related to specific accounts.,0.7931034482758621,,,,0.20689655172413798,,
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,0.8,,,,0.2,,
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",0.9,,,,0.1,,
adapt instructional content or delivery methods for different levels or types of learners.,0.8203592814371258,,,,0.17964071856287425,,
adapt teaching methods and instructional materials to meet students' varying needs and interests.,0.717948717948718,,,,0.28205128205128205,,
adapt text to accommodate musical requirements of composers and singers.,0.8888888888888888,,,,0.1111111111111111,,
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",0.9772727272727272,,,,0.022727272727272728,,
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",0.8113207547169812,,0.03354297693920336,0.04821802935010482,0.020964360587002098,0.03563941299790356,0.05031446540880504
"administer and score applicant and employee aptitude, personality, and interest assessment instruments.",,,,,1.0,,
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,0.6307692307692307,,,,0.36923076923076925,,
"administer highway planning, construction, or maintenance.",0.8611111111111112,,,,0.1388888888888889,,
administer online purchasing systems.,0.7974683544303798,,,0.08860759493670885,0.11392405063291139,,
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,0.8229166666666665,,,,0.17708333333333337,,
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",,,,,1.0,,
"administer, proctor, or score academic or diagnostic assessments.",0.6682352941176471,,0.047058823529411764,0.08235294117647057,0.01411764705882353,,0.18823529411764706
advise and teach students.,,,,,1.0,,
"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",0.7435897435897436,,,,0.2564102564102564,,
"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",0.475,,0.425,,0.1,,
advise clients on how they could be helped by counseling.,0.3097826086956521,,0.2391304347826087,0.358695652173913,0.09239130434782608,,
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",0.7198275862068965,,0.1336206896551724,,0.146551724137931,,
advise corporations on issues involving corporate image projects or problems.,0.9825870646766169,,,,0.01741293532338308,,
advise customer about or perform maintenance of software system.,,,,,1.0,,
"advise customers concerning equipment operation, maintenance, or programming.",,,,,1.0,,
advise customers of necessary actions and strategies for debt repayment.,0.696969696969697,,,,0.30303030303030304,,
"advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs.",1.0,,,,,,
"advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",0.65,,,,0.35,,
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements.",0.9245283018867925,,,,0.07547169811320754,,
advise or assist in obtaining patents or meeting other legal requirements.,0.8148148148148148,,,,0.1851851851851852,,
"advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.",0.6477272727272727,,0.17045454545454544,,0.18181818181818182,,
"advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation.",,,,,1.0,,
advise students on academic and vocational curricula and career issues.,,,,,1.0,,
advise students on academic and vocational curricula and on career issues.,0.41666666666666674,,0.25,0.2023809523809524,0.13095238095238096,,
"advise students on academic and vocational curricula, and on career issues.",,,,,1.0,,
"advise students on academic and vocational curricula, career issues, and laboratory and field research.",,,,,1.0,,
"align, adjust, or calibrate equipment according to specifications.",,,,,1.0,,
analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,0.9354838709677421,,,,0.06451612903225806,,
"analyze and characterize user experiences and institutional settings to assist consumer product developers, technology developers, and software engineers with the design of innovative products and services.",1.0,,,,,,
analyze and classify risks and investments to determine their potential impacts on companies.,0.9631901840490797,,,,0.03680981595092025,,
analyze and evaluate patient data or test findings to diagnose nature or extent of mental disorder.,,,,,1.0,,
analyze and evaluate robotic systems or prototypes.,,,,,1.0,,
"analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",0.5587453482190324,0.02073365231259968,0.018607123870281763,0.2828282828282828,0.007442849548112706,,0.11164274322169059
"analyze and interpret patient, nursing, or information systems data to improve nursing services.",0.7297297297297297,,,,0.2702702702702703,,
"analyze and interpret patients' histories, symptoms, physical findings, or diagnostic information to develop appropriate diagnoses.",0.4828326180257511,,0.03648068669527897,,0.03862660944206009,0.04291845493562232,0.3991416309012876
"analyze and interpret results from tests such as microbial or parasite tests, urine analyses, hormonal assays, fine needle aspirations (fnas), and polymerase chain reactions (pcrs).",0.6057416267942584,,,0.16172248803827752,0.02392344497607656,,0.20861244019138758
