task,directive,feedback_loop,learning,none,not_classified,task_iteration,validation
"accompany buyers during visits to and inspections of property, advising them on the suitability and value of the homes they are visiting.",,,,,1.0,,
act as advisers to student organizations.,0.2894736842105264,,,,0.14912280701754382,0.5614035087719298,
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,0.2361111111111111,,,,0.125,0.6388888888888888,
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",0.28846153846153844,,,,0.17307692307692307,0.5384615384615384,
act as liaisons between on-site managers or tenants and owners.,,,,,1.0,,
adapt instructional content or delivery methods for different levels or types of learners.,0.441233140655106,,,,0.025048169556840073,0.533718689788054,
adapt teaching methods and instructional materials to meet students' varying needs and interests.,0.41496598639455784,,,,0.05442176870748299,0.5306122448979592,
adapt text to accommodate musical requirements of composers and singers.,0.5825545171339563,,,,0.040498442367601244,0.37694704049844235,
adapt the quantity of ingredients to match the amount of items to be baked.,,,,,0.58,0.42,
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",0.7532467532467533,,,,0.051948051948051945,0.19480519480519484,
"address employee relations issues, such as harassment allegations, work complaints, or other employee concerns.",,,,,1.0,,
"address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements.",,,,,1.0,,
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",0.5711282410651717,0.03573931324456902,0.22494744218640506,,0.008409250175192713,0.1079187105816398,0.05185704274702172
"adjust coaching techniques, based on the strengths and weaknesses of athletes.",,,,,1.0,,
"adjust machine components according to specifications such as widths, lengths, and thickness of materials and amounts of glue, cement, or adhesive required.",,,,,1.0,,
"adjust or replace defective or improperly functioning circuitry or electronics components, using hand tools or soldering iron.",,,,,1.0,,
adjust sales scripts to better target the needs and interests of specific individuals.,0.2777777777777778,,,,0.1111111111111111,0.6111111111111112,
"adjust, repair, or replace malfunctioning components or assemblies, using hand tools or soldering irons.",,,,,1.0,,
administer construction contracts.,,,,,1.0,,
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,0.4,,,,0.32307692307692304,0.27692307692307694,
"administer highway planning, construction, or maintenance.",0.3508771929824561,,,,0.17543859649122806,0.47368421052631576,
administer online purchasing systems.,0.3560606060606061,0.17424242424242425,0.2803030303030303,,0.022727272727272728,0.16666666666666663,
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,0.35555555555555557,,,,0.6444444444444444,,
"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",0.1875,,0.625,,0.1875,,
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",0.20967741935483872,,0.6021505376344086,,0.043010752688172046,0.14516129032258066,
"administer, proctor, or score academic or diagnostic assessments.",0.6872246696035242,,0.07929515418502203,,0.022026431718061682,0.08370044052863436,0.1277533039647577
advise and instruct teachers employed in school systems by providing activities such as in-service seminars.,,,,,1.0,,
advise and teach students.,0.21954887218045113,,0.06616541353383458,0.02556390977443609,0.010526315789473684,0.5503759398496241,0.12781954887218044
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",0.14150943396226418,0.2044025157232705,0.5125786163522013,,0.009433962264150943,0.07232704402515723,0.059748427672955975
advise athletes on the proper use of equipment.,,,,,1.0,,
"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",,,,,1.0,,
"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination.",0.20779220779220778,0.0735930735930736,0.30303030303030304,,0.06926406926406926,0.3463203463203463,
advise clients about colors and types of makeup and instruct them in makeup application techniques.,0.3125,,,,0.6875,,
advise clients about proper clothing and shoes.,,,,,1.0,,
"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",0.15770609318996415,0.0931899641577061,0.5053763440860215,,0.025089605734767022,0.13261648745519714,0.08602150537634409
advise clients on financial and legal matters such as investments and taxes.,0.14347826086956522,0.03369565217391304,0.5141304347826087,,0.010869565217391304,0.2130434782608696,0.08478260869565217
advise clients on how they could be helped by counseling.,0.1123110151187905,,0.5377969762419006,0.1965442764578833,0.02591792656587473,0.06047516198704104,0.06695464362850972
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",0.20914479254868756,0.04149026248941575,0.36917866215071965,,0.0059271803556308214,0.31160033869602033,0.06265876375952582
advise clients on nail care and use of products and colors.,,,,,1.0,,
advise clients on transportation and payment methods.,,,,,1.0,,
"advise clients or community groups on issues related to improving general health, such as diet or exercise.",,,0.8095238095238095,,0.19047619047619047,,
"advise clients or community groups on issues related to sanitation or hygiene, such as flossing or hand washing.",,,,,1.0,,
advise clients or community groups to ensure parental understanding of the importance of childhood immunizations and how to access immunization services.,,,,,1.0,,
"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat.",,,,,1.0,,
