task,directive,feedback_loop,learning,none,not_classified,task_iteration,validation
access computerized financial information to answer general questions as well as those related to specific accounts.,0.9428571428571427,,,,0.05714285714285714,,
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,0.72,,,,0.28,,
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",0.6593406593406592,,,,0.14285714285714285,0.19780219780219782,
adapt instructional content or delivery methods for different levels or types of learners.,0.7575757575757575,,,,0.24242424242424238,,
adapt teaching methods and instructional materials to meet students' varying needs and interests.,,,,,1.0,,
adapt text to accommodate musical requirements of composers and singers.,0.5882352941176471,,,,0.4117647058823529,,
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",1.0,,,,,,
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",0.20725388601036268,,0.020725388601036274,0.29829755736491487,0.004441154700222057,0.4219096965210955,0.047372316802368614
"adjust coaching techniques, based on the strengths and weaknesses of athletes.",,,,,1.0,,
administer construction contracts.,0.88,,,,0.12,,
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,0.6217008797653959,,,0.1495601173020528,0.008797653958944282,0.11143695014662755,0.10850439882697946
"administer highway planning, construction, or maintenance.",0.8947368421052632,,,,0.10526315789473684,,
administer online purchasing systems.,0.7927007299270074,0.07591240875912408,,0.05547445255474453,0.017518248175182483,0.033576642335766425,0.024817518248175182
"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",0.7931034482758621,,,,0.20689655172413798,,
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",,,,,1.0,,
"administer, proctor, or score academic or diagnostic assessments.",0.4823529411764706,,0.1176470588235294,0.18529411764705883,0.04117647058823529,,0.17352941176470588
advise and teach students.,,,,,1.0,,
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",0.4090909090909091,,,,0.5909090909090909,,
"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination.",,,,,1.0,,
