task,directive,feedback_loop,learning,none,task_iteration,validation,not_classified
Accept music requests from event guests.,0.685,0.09449999999999999,0.0079,0.1417,0.063,0.0079,0.0
Access computerized financial information to answer general questions as well as those related to specific accounts.,0.8925,0.0547,0.0074,0.0049,0.0281,0.0123,0.0
"Act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",0.4118,0.5146999999999999,0.0,0.0147,0.0,0.0588,0.0
"Act as consultants to agency staff and other community programs regarding the interpretation of program-related federal, state, and county regulations and policies.",0.6815000000000001,0.028399999999999998,0.1663,0.0101,0.024300000000000002,0.0892,0.0
Adapt instructional content or delivery methods for different levels or types of learners.,0.8856999999999999,0.0,0.0,0.0143,0.1,0.0,0.0
Adapt or design computer hardware or software for medical science uses.,0.7222,0.1313,0.0,0.0,0.1465,0.0,0.0
Adapt software and accompanying technical documents to another language and culture.,0.9719,0.0078000000000000005,0.0,0.010700000000000001,0.0078000000000000005,0.0019,0.0
"Adapt statistical methods to solve specific problems in many fields, such as economics, biology, and engineering.",0.7926000000000001,0.1185,0.0222,0.0,0.0296,0.037000000000000005,0.0
"Adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",0.9677,0.0,0.0,0.0,0.0323,0.0,0.0
Add new material to file records or create new records as necessary.,0.7634000000000001,0.1374,0.0076,0.0458,0.0458,0.0,0.0
"Address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",0.9516,0.0215,0.0054,0.0,0.0161,0.0054,0.0
"Adjust coaching techniques, based on the strengths and weaknesses of athletes.",0.5153,0.2314,0.0873,0.0611,0.0546,0.050199999999999995,0.0
Adjust sales scripts to better target the needs and interests of specific individuals.,0.9439,0.0104,0.0009,0.0026,0.0408,0.0014000000000000002,0.0
"Adjust settings for format, page layout, line spacing, and other style requirements.",0.8028,0.056799999999999996,0.0005,0.014199999999999999,0.12300000000000001,0.0027,0.0
"Administer standardized tests to research subjects, or interview them to collect research data.",0.6182,0.0909,0.0364,0.2364,0.0182,0.0,0.0
"Advertise products and work, using media such as internet advertising and brochures.",0.8401000000000001,0.0408,0.0031,0.10339999999999999,0.0125,0.0,0.0
Advertise services using media such as internet advertising and brochures.,0.873,0.037000000000000005,0.0,0.0688,0.0212,0.0,0.0
Advise and teach students.,0.2908,0.0864,0.3379,0.0747,0.12380000000000001,0.0864,0.0
"Advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",0.7234,0.10640000000000001,0.0851,0.0426,0.0213,0.0213,0.0
"Advise athletes, trainers, or coaches to alter or cease sports practices that are potentially harmful.",0.6087,0.3043,0.0,0.0435,0.0,0.0435,0.0
"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",0.789,0.048,0.0789,0.0412,0.0274,0.0154,0.0
"Advise client on interior design factors, such as space planning, layout and use of furnishings or equipment, and color coordination.",0.6125,0.0625,0.0,0.05,0.275,0.0,0.0
Advise clients about proper clothing and shoes.,0.7837999999999999,0.036000000000000004,0.045,0.06309999999999999,0.027000000000000003,0.045,0.0
Advise clients about the materials being used for finished products.,0.4833,0.05,0.1,0.1167,0.25,0.0,0.0
"Advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",0.6455,0.06280000000000001,0.0471,0.024300000000000002,0.1041,0.11630000000000001,0.0
"Advise clients on aspects of capitalization, such as amounts, sources, or timing.",0.5,0.125,0.1458,0.0625,0.16670000000000001,0.0,0.0
"Advise clients on financial and legal matters, such as investments and taxes.",0.7337,0.0163,0.1301,0.012199999999999999,0.056900000000000006,0.0508,0.0
"Advise clients on housing matters, such as housing rental, homeownership, mortgage delinquency, or foreclosure prevention.",0.6517000000000001,0.1685,0.0843,0.0281,0.0562,0.011200000000000002,0.0
Advise clients on how they could be helped by counseling.,0.6389,0.0417,0.16670000000000001,0.1389,0.0,0.0139,0.0
"Advise clients on market conditions, prices, mortgages, legal requirements, and related matters.",0.8134,0.0383,0.0478,0.0478,0.0335,0.0191,0.0
"Advise clients or community groups on issues related to diagnostic screenings, such as breast cancer screening, pap smears, glaucoma tests, or diabetes screenings.",0.8462000000000001,0.0385,0.11539999999999999,0.0,0.0,0.0,0.0
"Advise clients or community groups on issues related to improving general health, such as diet or exercise.",0.6254,0.0775,0.1873,0.062400000000000004,0.0377,0.0097,0.0
"Advise clients or community groups on issues related to risk or prevention of conditions, such as lead poisoning, human immunodeficiency virus (HIV), prenatal substance abuse, or domestic violence.",0.7340000000000001,0.0319,0.1809,0.0319,0.0,0.0213,0.0
"Advise clients or community groups on issues related to sanitation or hygiene, such as flossing or hand washing.",0.8095,0.0,0.1429,0.0,0.0,0.047599999999999996,0.0
"Advise clients or community groups on issues related to self-care, such as diabetes management.",0.7667,0.0333,0.16670000000000001,0.0,0.0333,0.0,0.0
"Advise clients or community groups on issues related to social or intellectual development, such as education, childcare, or problem solving.",0.575,0.056299999999999996,0.1813,0.0875,0.05,0.05,0.0
"Advise clients or respond to inquiries about financial matters in person or via phone, email, Web site, or Internet chat.",0.7597,0.0582,0.0999,0.0274,0.0355,0.0192,0.0
Advise corporations on issues involving corporate image projects or problems.,0.6,0.05,0.0,0.1,0.2,0.05,0.0
"Advise customers concerning equipment operation, maintenance, or programming.",0.9623,0.0189,0.0189,0.0,0.0,0.0,0.0
"Advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters.",0.8409,0.0227,0.0341,0.0227,0.0227,0.056799999999999996,0.0
Advise customers on product usage to improve production.,0.7535,0.0775,0.1127,0.0282,0.0141,0.0141,0.0
Advise customers on substitution or modification of parts when identical replacements are not available.,0.7576,0.0,0.030299999999999997,0.060599999999999994,0.12119999999999999,0.030299999999999997,0.0
Advise customers on use and care of merchandise.,0.6002000000000001,0.0441,0.24670000000000003,0.043,0.0441,0.022000000000000002,0.0
Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,0.7471,0.046,0.0805,0.1149,0.0115,0.0,0.0
"Advise employees in handling problems or resolving complaints from customers, tenants, detainees, or other persons.",0.8214,0.1429,0.0,0.035699999999999996,0.0,0.0,0.0
Advise internal management or business partners on the implementation or operation of compliance programs.,0.6275,0.049,0.15689999999999998,0.049,0.06860000000000001,0.049,0.0
