task,directive,feedback_loop,learning,none,not_classified,task_iteration,validation
act as advisers to student organizations.,,,,,1.0,,
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,0.46,,,,0.06,0.48,
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",,,,,1.0,,
act as liaisons between on-site managers or tenants and owners.,,,,,1.0,,
adapt instructional content or delivery methods for different levels or types of learners.,0.5254901960784314,,,,0.043137254901960784,0.43137254901960786,
adapt software and accompanying technical documents to another language and culture.,,,,,1.0,,
adapt teaching methods and instructional materials to meet students' varying needs and interests.,0.3739130434782609,,,,0.052173913043478265,0.5739130434782609,
"adapt teaching methods and instructional materials to meet students' varying needs, abilities, and interests.",,,,,1.0,,
adapt text to accommodate musical requirements of composers and singers.,0.6696428571428571,,,,0.03571428571428571,0.29464285714285715,
adapt the quantity of ingredients to match the amount of items to be baked.,,,,,1.0,,
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",0.8285714285714286,,,,0.17142857142857143,,
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",0.5352657004830917,0.044444444444444446,0.263768115942029,,0.003864734299516908,0.0966183574879227,0.05603864734299517
"adjust functional parts of devices or control instruments, using hand tools, levels, plumb bobs, or straightedges.",,,,,1.0,,
"adjust or replace defective or improperly functioning circuitry or electronics components, using hand tools or soldering iron.",,,,,1.0,,
adjust sales scripts to better target the needs and interests of specific individuals.,,,,,0.25806451612903225,0.7419354838709676,
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,0.5172413793103448,,,,0.48275862068965525,,
"administer highway planning, construction, or maintenance.",0.4285714285714285,,,,0.5714285714285714,,
administer online purchasing systems.,0.6538461538461539,,,,0.34615384615384615,,
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,0.5555555555555556,,,,0.4444444444444444,,
"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",0.2808988764044944,,0.4943820224719101,,0.2247191011235955,,
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",0.2544642857142857,,0.5357142857142857,,0.08035714285714286,0.1294642857142857,
"administer, proctor, or score academic or diagnostic assessments.",0.7081081081081081,,,,0.12432432432432432,,0.16756756756756758
advise and instruct teachers employed in school systems by providing activities such as in-service seminars.,,,,,1.0,,
advise and teach students.,0.2849162011173184,,0.08938547486033518,,0.1564245810055866,0.4692737430167597,
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",0.306896551724138,0.09655172413793103,0.44137931034482764,,0.08620689655172414,,0.06896551724137931
"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",0.4047619047619048,,0.2976190476190476,,0.10714285714285714,0.19047619047619047,
"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination.",0.3553299492385787,0.07614213197969544,0.2436548223350254,,0.06598984771573604,0.25888324873096447,
advise clients about colors and types of makeup and instruct them in makeup application techniques.,,,,,1.0,,
"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",0.258160237388724,,0.4332344213649852,,0.04451038575667656,0.17804154302670624,0.08605341246290803
advise clients on financial and legal matters such as investments and taxes.,0.2627027027027027,0.017297297297297298,0.5102702702702703,,0.008648648648648649,0.1545945945945946,0.046486486486486484
advise clients on how they could be helped by counseling.,0.16058394160583941,,0.5693430656934306,0.11131386861313869,0.02554744525547445,0.0821167883211679,0.05109489051094891
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",0.3275058275058275,0.030303030303030304,0.3496503496503497,,0.008158508158508158,0.24708624708624707,0.037296037296037296
advise clients on nail care and use of products and colors.,,,,,1.0,,
advise clients on transportation and payment methods.,,,,,1.0,,
"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat.",,,,,1.0,,
"advise construction firms or government agencies on dam or road construction, foundation design, land use, or resource management.",,,,,1.0,,
advise corporations on issues involving corporate image projects or problems.,0.297029702970297,,,,0.1782178217821782,0.26732673267326734,0.25742574257425743
advise customer about or perform maintenance of software system.,,,0.5454545454545454,,0.45454545454545453,,
"advise customers concerning equipment operation, maintenance, or programming.",0.20779220779220778,,0.41558441558441556,,0.37662337662337664,,
advise customers of necessary actions and strategies for debt repayment.,0.25806451612903225,,0.2903225806451613,,0.16129032258064516,0.2903225806451613,
advise customers on plant selection or care.,0.3170731707317073,,0.3902439024390244,,0.17073170731707318,0.12195121951219512,
advise customers on product usage to improve production.,,,,,1.0,,
"advise customers on the selection of medication brands, medical equipment, or healthcare supplies.",,,,,1.0,,
advise customers on use and care of merchandise.,0.391304347826087,,0.32608695652173914,,0.2826086956521739,,
"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning.",0.35185185185185186,,0.38888888888888895,,0.25925925925925924,,
advise farmers or growers of development programs or new equipment or techniques to aid in quality production.,,,,,1.0,,
advise internal management or business partners on the implementation or operation of compliance programs.,,,,,1.0,,
"advise land users, such as farmers or ranchers, on plans, problems, or alternative conservation solutions.",,,,,1.0,,
"advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",0.20647773279352225,,0.32186234817813764,,0.03643724696356275,0.3522267206477733,0.08299595141700405
"advise management on organizing, preparing, or implementing recruiting or retention programs.",,,,,1.0,,
"advise management on short-term and long-term financial objectives, policies, and actions.",,,,,1.0,,
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements.",,,,,1.0,,
"advise managers and employees on state and federal employment regulations, collective agreements, benefit and compensation policies, personnel procedures and classification programs.",,,,,1.0,,
"advise managers on organizational policy matters such as equal employment opportunity and sexual harassment, and recommend needed changes.",,,,,1.0,,
advise or assist in obtaining patents or meeting other legal requirements.,0.21910112359550563,,0.48314606741573035,,0.02808988764044944,0.11797752808988765,0.15168539325842698
"advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.",0.17733990147783252,,0.6847290640394089,,0.1379310344827586,,
advise other physicians on the treatment of neurological problems.,,,,,1.0,,
advise participants in use of heat or ultraviolet treatments and hot baths.,,,0.7272727272727273,,0.2727272727272727,,
"advise patients and community members concerning diet, activity, hygiene, and disease prevention.",,,0.6551724137931035,,0.3448275862068966,,
"advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation.",0.2464285714285714,0.041071428571428564,0.5446428571428571,,0.010714285714285714,0.11071428571428571,0.04642857142857143
"advise patients, parents or guardians, and community members concerning diet, activity, hygiene, and disease prevention.",,,,,1.0,,
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards.",,,,,1.0,,
advise producers about improved products and techniques that could enhance their animal production efforts.,,,,,1.0,,
"advise project teams on subjects such as premarket regulatory requirements, export and labeling requirements, or clinical study compliance issues.",,,0.8378378378378379,,0.16216216216216217,,
"advise retail customers or internal users on the appropriateness of parts, supplies, or materials requested.",0.35714285714285715,,,,0.6428571428571429,,
"advise retail managers on compliance with applicable codes, laws, regulations, or standards.",,,,,1.0,,
advise students on academic and vocational curricula and career issues.,0.28695652173913044,,0.2130434782608696,,0.034782608695652174,0.391304347826087,0.07391304347826087
