task_name,pct
"Assist in determining document management policies to facilitate efficient, legal, and secure access to electronic content.",0.0027
Evaluate new technologies and methods to make recommendations regarding their use.,0.59
"Bake, roast, broil, and steam meats, fish, vegetables, and other foods.",0.0027
"Review and analyze specifications, sketches, drawings, ideas, and related data to assess factors affecting component designs and the procedures and instructions to be followed.",0.01
Provide feedback to design engineers on customer problems or needs.,0.0027
"Conduct research in a particular field of knowledge and present findings in professional journals, books, electronic media, or at professional conferences.",0.0027
"Guide or counsel students with adjustment problems, academic problems, or special academic interests.",0.0027
Negotiate details of contracts and payments.,0.0027
Provide education or counseling to individuals and families.,0.03
Plan programs of events or schedules of activities.,0.05
"Compute mathematical formulas to develop and design detailed specifications for components or machinery, using computer-assisted equipment.",0.01
Confer with customers to determine the nature of malfunctions.,0.0027
"Confer with clients to restructure debt, refinance debt, or raise new debt.",0.01
Review and update standard operating procedures or quality assurance manuals.,0.0027
"Identify prospective customers, using business directories, leads from existing clients, participation in organizations, or trade show or conference attendance.",0.0027
"Apply modeling or quantitative analysis to forecast events, such as human decisions or behaviors, the structure or processes of organizations, or the attitudes or actions of human groups.",0.0027
"Recommend necessary corrective actions, based on inspection results.",0.12
"Write speeches, press releases, or other promotional materials to increase awareness of the causes, missions, or goals of organizations seeking funds.",0.02
"Present information in audio-visual or interactive formats, using computers, televisions, audio-visual aids, or other equipment, materials, or technologies.",0.0027
Train faculty and media staff on the use of software and audio-visual equipment.,0.0027
Provide communication instruction to dialect speakers or students with limited English proficiency.,0.0027
Design or use assessments to monitor student learning outcomes.,0.01
Develop or direct study courses or religious education programs within congregations.,0.0027
Maintain inventory records.,0.0027
Compile and analyze credit information gathered by investigation.,0.0027
Prepare working sketches for the illustration of product appearance.,0.0027
"Interpret and explain plans and contract terms to representatives of the owner or developer, including administrative staff, workers, or clients.",0.0027
"Prepare documents such as representation contracts, purchase agreements, closing statements, deeds, and leases.",0.0027
Evaluate or recommend server hardware or software.,0.0027
Prepare reports on investigations or inspections and actions taken.,0.0027
"Prepare management recommendations, such as proposed fee and tariff increases or schedule changes.",0.0027
Modify existing databases and database management systems or direct programmers and analysts to make changes.,0.03
"Determine procedures and instructions to be followed, according to design specifications and quantity of required materials.",0.0027
"Answer questions or provide advice to the public regarding licensing policies, procedures, or regulations.",0.01
Create developmentally appropriate lesson plans.,0.06
Evaluate transportation project needs or costs.,0.0027
Perform systems analysis or programming of radio frequency identification device (RFID) technology.,0.0027
Train subordinates in programming and program coding.,0.0027
"Identify main client groups and audiences, determine the best way to communicate publicity information to them, and develop and implement a communication plan.",0.1
"Prepare reports of activities, evaluations, recommendations, or decisions.",0.01
"Provide consultation to other health care providers in areas such as patient discharge, patient care, or clinical procedures.",0.0027
Clean and manipulate raw data using statistical software.,0.02
"Implement controls to provide security for operating systems, software, and data.",0.0027
"Answer inquiries from current or prospective customers regarding methods, materials, or price ranges.",0.0027
Enter data into computers for use in analyses or reports.,0.11
"Prepare instructional program objectives, outlines, and lesson plans.",0.01
Guide and counsel students with adjustment or academic problems or with special academic interests.,0.02
Telephone or write letters to respond to correspondence from customers or to follow up initial sales contacts.,0.01
"Evaluate individuals' abilities, needs, and physical conditions, and develop suitable training programs to meet any special requirements.",0.0027
Review legal publications and perform database searches to identify laws and court decisions relevant to pending cases.,0.01
"Assemble and issue required documentation, such as tickets, travel insurance policies, or itineraries.",0.0027
"Process large amounts of data for statistical modeling and graphic analysis, using computers.",0.01
"Interpret laws, rulings and regulations for individuals and businesses.",0.22
Read documents on pleadings and motions to ascertain facts and issues.,0.01
"Build, test, and modify product prototypes, using working models or theoretical models constructed with computer simulation.",0.0027
"Prepare ordinances, resolutions, or proclamations so that they can be executed, recorded, archived, or distributed.",0.0027
"Calculate amounts of required materials and estimate costs, based on surface measurements or work orders.",0.01
Prepare graphic representations or drawings of proposed plans or designs.,0.01
Evaluate employee performance.,0.0027
"Install and perform minor repairs to hardware, software, or peripheral equipment, following design or installation specifications.",0.01
"Analyze test data to diagnose malfunctions, to determine performance characteristics of systems, or to evaluate effects of system modifications.",0.06
"Share information about religious issues by writing articles, giving speeches, or teaching.",0.02
"Conduct agricultural research, analyze data, and prepare research reports.",0.0027
"Study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and function.",0.01
"Compile budget data and documents, based on estimated revenues and expenses and previous budgets.",0.0027
Perform risk assessments to develop response strategies.,0.0027
"Provide repair cost estimates, and recommend whether appliance repair or replacement is a better choice.",0.0027
"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",0.03
"Explain principles, techniques, and safety procedures to participants in recreational activities and demonstrate use of materials and equipment.",0.01
Make manuscript acceptance or revision recommendations to the publisher.,0.0027
"Compile statistics from source materials, such as production or sales records, quality-control or test records, time sheets, or survey sheets.",0.0027
"Review complaints, petitions, motions, or pleadings that have been filed to determine issues involved or basis for relief.",0.01
"Implement electronic document processing, retrieval, and distribution systems in collaboration with other information technology specialists.",0.0027
Recommend adjudication of product complaints.,0.0027
Greet customers and make them feel welcome.,0.02
"Demonstrate or explain products, methods, or services to persuade customers to purchase products or use services.",0.0027
"Troubleshoot fuel, ignition, and emissions control systems, using electronic testing equipment.",0.0027
"Write technical reports or other documentation, such as handbooks or bulletins, for use by engineering staff, management, or customers.",0.03
Develop prospect lists.,0.01
"Write reports of findings and recommendations and advise farmers, growers, or processors of corrective action to be taken.",0.0027
"Verify adherence of documentation to customs, insurance, or regulatory requirements.",0.0027
"Identify problems uncovered by testing or customer feedback, and correct problems or refer problems to appropriate personnel for correction.",0.36
"Interpret data, reports, maps, photographs, or charts to predict long- or short-range weather conditions, using computer models and knowledge of climate theory, physics, and mathematics.",0.0027
"Develop specifications for equipment, tools, facility layouts, or material-handling systems.",0.01
"Position text and art elements from a variety of databases in a visually appealing way to design print or web pages, using knowledge of type styles and size and layout patterns.",0.1
Determine how food should be presented and create decorative food displays.,0.0027
"Answer customers' questions about products, prices, availability, or credit terms.",0.18
Advise patients about therapeutic exercise and nutritional medicine regimens.,0.01
"Evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems.",0.0027
"Prepare and distribute leaflets, pamphlets, and visual aids for educational and informational purposes.",0.02
"Develop or configure document management system features, such as user interfaces, access profiles, and document workflow procedures.",0.0027
Explain federal and state tax laws to individuals and companies.,0.02
Develop specialized computer software routines to customize and integrate image analysis.,0.01
"Develop risk management strategies based on assessment of product, compliance, or operational risks.",0.0027
Enter commands and observe system functioning to verify correct operations and detect errors.,0.0027
Modify and customize commercial programs for internal needs.,0.01
"Maintain records of daily data communication transactions, problems and remedial actions taken, or installation activities.",0.01
Compile and analyze accounting records and other data to determine the financial resources required to implement a program.,0.0027
"Recommend tests or testing conditions in accordance with designs, customer requirements, or industry standards to ensure test validity.",0.0027
Adapt or design computer hardware or software for medical science uses.,0.01
"Plan, evaluate, and revise curricula, course content, and course materials and methods of instruction.",0.0027
Develop testing routines and procedures.,0.0027
Maintain technical project files.,0.0027
"Prepare documents and correspondence, such as damage claims, credit and billing inquiries, invoices, and service complaints.",0.02
"Educate patients about diagnoses, prognoses, or treatments.",0.01
Analyze marketing or sales trends to forecast future conditions.,0.0027
Present drafts and ideas to clients.,0.02
"Respond to passengers' questions, requests, or complaints.",0.01
"Compose images of products, using video or still cameras, lighting equipment, props, or photo or video editing software.",0.0027
Compute and compare costs of services.,0.01
Contact carriers for rates or schedules.,0.0027
Develop system interaction or sequence diagrams.,0.04
Check and analyze operating system or application log files regularly to verify proper system performance.,0.02
Plan and organize public events at the park.,0.0027
"Advise clients in areas such as compensation, employee health care benefits, the design of accounting or data processing systems, or long-range tax or estate plans.",0.0027
Calculate potential for energy savings.,0.0027
Diagnose and repair vehicle heating and cooling systems.,0.0027
Explain and demonstrate safety procedures and safety equipment use.,0.0027
